index,Title,Year,Length,Subject,Popularity
627,"Godfather, The",1972,175,Drama,8
628,"Godfather, Pt 2., The",1974,201,Drama,8
629,"I Will, I Will...For Now",1976,109,Comedy,6
630,"Play It Again, Sam",1972,86,Comedy,81
631,Love & Death,1975,82,Comedy,84
632,Sleeper,1973,88,Comedy,59
633,Fellini Satyricon,1970,130,Drama,88
634,"Formula, The",1980,117,Mystery,82
635,Black Sunday,1977,143,Drama,76
636,Bobby Deerfield,1977,124,Drama,36
637,Last of the Red Hot Lovers,1972,98,Comedy,40
638,Mogambo,1953,116,Action,71
639,To Catch a Thief,1955,103,Mystery,69
640,Rear Window,1954,113,Mystery,25
641,Woman Who Came Back,1945,69,Drama,26
642,Stanley & Livingstone,1939,101,Action,11
643,"Bad Seed, The",1956,129,Horror,69
644,Lethal Weapon 2,1989,113,Action,69
645,Blame It on the Bellboy,1992,79,Comedy,69
646,"Drop Kick, The",1927,62,Drama,
647,"Superman, The Movie",1978,145,Action,87
648,Superman IV: The Quest for Peace,1987,90,Action,77
649,Quackser Fortune Has a Cousin in the Bronx,1970,90,Comedy,49
650,Dead Calm,1989,96,Mystery,1
651,Days of Thunder,1990,107,Action,3
652,My Life As a Dog,1987,101,Comedy,21
653,"Moon in the Gutter, The",1983,,Action,29
654,"Paris, Texas",1984,150,Drama,27
655,Unfaithfully Yours,1984,96,Comedy,73
656,Bullseye!,1987,95,Comedy,8
657,Erik the Viking,1989,104,Action,25
658,Dragonard,1987,90,Drama,71
659,Hard Choices,1986,90,Drama,41
660,"Rain People, The",1969,102,Drama,78
661,A Year of the Quiet Sun,1984,106,Drama,78
662,"Desert Trail, The",1935,54,Western,50
663,Almost an Angel,1990,98,Comedy,14
664,Crocodile Dundee,1986,98,Comedy,66
665,"American Friend, The",1977,127,Mystery,35
666,See You in the Morning,1989,119,Drama,53
667,"Arrogant, The",1987,88,Drama,62
668,Dracula's Widow,1989,86,Horror,55
669,Ninja Masters of Death,1987,90,Action,15
670,Mystery Train,1990,110,Comedy,23
671,Go Tell the Spartans,1978,114,War,67
672,True Stories,1986,89,Comedy,79
673,Ugetsu Monogatari,1953,94,Drama,82
674,Rebel Rousers,1969,80,Action,44
675,Plain Clothes,1988,98,Comedy,4
676,"Whose Life Is It, Anyway?",1981,119,Drama,62
677,Running on Empty,1988,116,Drama,2
678,Funny about Love,1990,101,Comedy,60
679,"A Chorus Line, The Movie",1985,118,Music,71
680,Stewardess School,1986,84,Comedy,28
681,"Big Town, The",1987,109,Drama,11
682,Rumble Fish,1983,94,Drama,4
683,"Outsiders, The",1983,91,Drama,56
684,Priceless Beauty,1990,94,Science Fiction,7
685,Streets of Fire,1989,93,Action,65
686,Men Don't Leave,1990,115,Drama,66
687,Everybody's All American,1988,127,Romance,62
688,Cape Fear,1992,128,Mystery,7
689,"Postman Always Rings Twice, The",1992,121,Mystery,24
690,Crashing Thru,1949,58,Western,19
691,Get Out Your Handkerchiefs,1978,109,Comedy,78
692,"Boy Friend, THe",1971,137,Music,8
693,Hard To Kill,1990,100,Action,49
694,Psycho,1960,109,Horror,56
695,Jet Pilot,1957,112,Action,43
696,Under Cover,1987,95,Mystery,36
697,A Streetcar Named Desire,1951,122,Drama,75
698,"Golden Child, The",1986,93,Comedy,86
699,"Statue, The",1971,84,Drama,80
700,Christopher Columbus,1985,128,Drama,69
701,In Country,1989,116,Drama,76
702,"Wild Geese, The",1978,132,Action,21
703,"Second Coming of Suzanne., The",1974,90,Drama,21
704,Bronco Billy,1980,116,Westerns,57
705,"Gauntlet, The",1977,109,Action,18
706,Ratboy,1986,105,Drama,1
707,Lady Vanishes,1938,96,Mystery,27
708,"Kitchen Toto, THe",1987,95,Drama,41
709,Carlton-Browne of the F.O.,1959,88,Comedy,63
710,Racketeer,1929,68,Drama,2
711,Mr. & Mrs. Smith,1941,95,Comedy,3
712,Alrededor de Medianoche,1986,132,Drama,47
713,Losin' It,1982,101,Comedy,4
714,Into the Homeland,1987,114,Action,34
715,Boxing Babes,1991,60,Action,9
716,Shock 'em Dead,1991,94,Horror,31
717,Heller in Pink Tights,1960,101,Drama,52
718,Two Women,1961,100,Drama,83
719,"Gold of Naples, The",1954,107,Drama,40
720,"Yesterday, Today & Tomorrow",1963,118,Comedy,73
721,Legend of the Lost,1957,109,Action,84
722,Brass Target,1978,111,Action,53
723,"Fall of the Roman Empire, The",1964,188,Drama,62
724,El Cid,1961,172,Drama,10
725,Desire under the Elms,1958,114,Drama,13
726,Two Nights with Cleo,1953,92,Drama,54
727,"Black Orchid, The",1959,,Drama,54
728,Angela,1977,91,Drama,80
729,A Special Day,1977,105,Drama,80
730,Blood Feud,1979,112,Action,52
731,"Sophia Loren, Her Own Story",1991,145,Drama,49
732,Running Away,1990,,Drama,2
733,Man of La Mancha,1991,130,Music,55
734,Operation Crossbow,1992,116,Action,1
735,Courage,1986,141,Drama,56
736,RAD,1986,94,Action,75
737,Secret Admirer,1992,98,Comedy,55
738,Cocaine Cowboys,1979,85,Action,17
739,Test Pilot,1991,118,Drama,13
740,"Ape Man, The",1943,64,Horror,83
741,"Mission, The",1986,125,Drama,20
742,Curly Sue,1991,102,Comedy,2
743,Lolita,1962,150,Drama,80
744,"Sex, Lies, and Videotape",1989,101,Drama,70
745,Green Card,1990,107,Comedy,25
746,Gator Bait II,1988,95,Action,73
747,Being There,1979,129,Comedy,31
748,Terms of Endearment,1983,132,Drama,32
749,Woman Times Seven,1967,99,Comedy,36
750,"Bliss of Mrs. Blossom, The",1968,,Comedy,86
751,Postcards from the Edge,1990,101,Comedy,63
752,Two Mules for Sister Sara,1970,105,Western,36
753,Dragonfight,1992,84,Drama,71
754,Back Door to Heaven,1939,85,Drama,83
755,"Ciao Italia, Madonna Live from Italy",1988,100,Music,74
756,"Madonna, Truth or Dare",1991,118,Music,54
757,A Certain Sacrifice,1992,60,Music,24
758,"National Enquirer, The Untold Story",1991,40,Music,65
759,"Immaculate Collection, The",1990,60,Music,32
760,"Madonna Live, The Virgin Tour",1987,50,Music,75
761,"Madonna, Justify My Love",1990,5,Music,77
762,"Madonna, Like a Virgin",1991,16,Music,63
763,Hot to Trot,1988,83,Comedy,78
764,Fire with Fire,1986,103,Drama,9
765,Hot Spot,1990,120,Drama,70
766,Amarcord,1974,124,Drama,50
767,Casablanca Express,1988,85,Action,33
768,Out of the Blue,1980,94,Drama,4
769,Sands of Iwo Jima,1949,110,War,72
770,"Hand, The",1981,104,Horror,44
771,Deep Cover,1989,81,Mystery,15
772,Il Bidone,1955,92,Drama,70
773,El Guerrero Solitario,1986,130,Drama,77
774,Heartbreak Ridge,1986,130,War,61
775,"Goodbye Girl, The",1977,110,Comedy,6
776,Audrey Rose,1991,113,Drama,62
777,Polyester,1981,86,Comedy,68
778,Robin Hood: Prince of Thieves,1991,144,Action,8
779,White Sands,1992,101,Drama,38
780,"Color of Money, The",1986,119,Drama,6
781,Children of a Lesser God,1986,119,Drama,20
782,Matador,1986,,Comedy,34
783,Women on the Verge of a Nervous Breakdown,1989,88,Comedy,65
784,Pepi Luci Bom,1980,86,Comedy,66
785,"Forgotten, The",1989,100,Mystery,69
786,"Flame & the Arrow, The",1992,89,Action,0
787,After the Shock,1990,92,Drama,28
788,Modern Love,1990,110,Comedy,18
789,Riff Raff,1992,95,Comedy,71
790,"Glory Stompers, The",1967,81,Action,27
791,Dances with Wolves,1990,181,Western,8
792,Matewan,1987,130,Drama,81
793,Mississippi Burning,1988,120,Drama,41
794,"Eiger Sanction, The",1975,130,Action,69
795,Unsettled Land,1988,109,Drama,75
796,Cat Chaser,1991,98,Drama,6
797,"Accused, The",1988,110,Drama,71
798,Winter People,1989,109,Drama,30
799,"Reuben, Reuben",1983,101,Comedy,2
800,Made in Heaven,1987,102,Fantasy,57
801,Top Gun,1986,109,Action,8
802,Witness,1985,112,Drama,59
803,"House on Carroll Street, The",1988,111,Mystery,6
804,Racing with the Moon,1984,109,Drama,50
805,Lovesick,1983,98,Comedy,51
806,She's Having a Baby,1988,106,Comedy,18
807,"Greatest Story Ever Told, The",1965,199,Drama,26
808,Hawks,1989,105,Drama,11
809,So Fine,1981,91,Comedy,17
810,Paths of Glory,1957,89,Drama,47
811,Tom Jones,1964,120,Drama,39
812,"Sunshine Boys, The",1975,103,Comedy,35
813,Caddyshack 2,1988,98,Comedy,34
814,Internal Affairs,1990,117,Drama,3
815,JFK,1991,206,Drama,78
816,New Jack City,1991,97,Action,80
817,Scenes from a Mall,1991,87,Comedy,8
818,Hope & Glory,1987,118,War,3
819,Ryan's Daughter,1970,194,Drama,81
820,"Man Who Loved Cat Dancing, The",1973,127,Western,40
821,"Man Who Shot Liberty Valance, The",1962,123,Western,85
822,Dead-Bang,1989,102,Action,9
823,Big Top Pee-wee,1988,90,Comedy,17
824,"Time Machine, The",1960,103,Science Fiction,88
825,Cabaret,1972,128,Drama,59
826,Arthur,1981,97,Comedy,79
827,A Matter of Time,1976,97,Drama,70
828,"New York, New York",1977,137,Drama,8
829,"Nightmare on Elm Street, Pt. 5, The Dream Child",1989,89,Horror,41
830,"Fiendish Plot of Dr. Fu Manchu, The",1980,100,Comedy,29
831,Four American Composers,1991,240,Music,3
832,"Asphalt Jungle, The",1950,112,Action,77
833,Ladies of the Chorus,1992,61,Music,60
834,How to Marry a Millionaire,1953,95,Comedy,65
835,Hollywood Out-Takes & Rare Footage,1983,,Comedy,27
836,Nothing But Trouble,1991,94,Comedy,25
837,Wisdom,1987,109,Action,25
838,One Crazy Summer,1986,94,Comedy,61
839,We're No Angels,1989,110,Comedy,51
840,No Small Affair,1984,102,Comedy,10
841,Ghost,1990,127,Science Fiction,6
842,About Last Night,1986,113,Drama,66
843,Six Weeks,1982,107,Drama,73
844,Return of October,1948,89,Comedy,35
845,"Come Back, Little Sheba",1952,99,Drama,50
846,Going Places,1974,117,Drama,66
847,Monte Walsh,1970,99,Western,29
848,Mr. Arkadin,1955,100,Drama,80
849,White of the Eye,1988,,Mystery,48
850,"Producers, The",1968,90,Comedy,33
851,"Front, The",1976,94,Drama,70
852,House of the Rising Sun,1987,86,Drama,45
853,In a Shallow Grave,1988,91,Drama,72
854,Mc Q,1974,111,Action,73
855,Lady from Louisiana,1941,85,Drama,38
856,Wait Until Spring Bandini,1990,102,Drama,29
857,"Long Voyage Home, The",1940,105,Drama,88
858,"Trouble with Harry, The",1955,100,Mystery,28
859,Encounters,1987,60,Drama,44
860,Hud,1963,112,Drama,2
861,Operation Pacific,1951,111,War,5
862,Surf Nazis Must Die,1987,83,Horror,50
863,Teahouse of the August Moon,1956,124,Drama,11
864,Back in the U.S.S.R.,1992,88,Action,61
865,"Man Who Haunted Himself, The",1970,91,Drama,75
866,Prisoner of Honor.,1991,108,Drama,58
867,Control,1988,83,Drama,27
868,Desert Rider,1923,57,Western,
869,Wholly Moses!,1980,109,Comedy,25
870,Star Trek VI: The Undiscovered Country,1991,110,Science Fiction,11
871,Star Trek V: The Final Frontier,1989,107,Action,87
872,Circuitry Man,1991,85,Action,78
873,Cobra,1986,87,Action,57
874,Beverly Hills Cop II,1987,103,Comedy,37
875,Red Sonja,1990,90,Action,40
876,To Joy,1950,93,Drama,65
877,Macbeth,1992,112,Drama,45
878,Vertigo,1958,128,Drama,10
879,Young Love: Lemon Popsicle Seven,1987,91,Comedy,47
880,Crack-Up,1946,93,Mystery,25
881,Bury Me Not on the Lone Prairie,1941,57,Western,85
882,Law & Order,1940,57,Western,87
883,Man from Montana,1941,56,Western,85
884,"Long Gray Line, The",1992,137,Drama,26
885,Rio Grande,1950,105,Western,64
886,"Wings of Eagles, The",1957,107,Drama,29
887,Jamaica Inn,1939,94,Drama,75
888,Big Jake,1971,110,Action,68
889,"Quiet Man, The",1992,153,Drama,74
890,After the Rehearsal,1983,72,Drama,0
891,Big Jim McLain,1952,90,Western,14
892,Smith!,1969,101,Western,62
893,"Wild One, The",1953,79,Drama,26
894,"Manxman, The",1929,129,Drama,65
895,International Velvet,1978,126,Drama,40
896,Scanners,1981,104,Horror,32
897,Trick or Treat,1986,98,Horror,47
898,48 Hrs.,1982,92,Action,67
899,"Trip to Bountiful, The",1985,108,Drama,62
900,Mister Roberts,1955,116,Comedy,8
901,Z,1969,127,Drama,72
902,Maurice,1987,139,Drama,45
903,Hamlet,1969,114,Drama,39
904,La Femme Nikita,1991,117,Drama,6
905,Honeymoon in Vegas,1993,95,Comedy,53
906,Going for the Gold,1988,90,Action,10
907,Shout at the Devil,1976,128,Action,0
908,A Smoky Mountain Christmas,1986,94,Music,23
909,Getting Physical,1984,95,Drama,75
910,Torn Apart,1990,95,Drama,8
911,From the Hip,1986,112,Comedy,36
912,"Ratings Game, The",1984,102,Comedy,21
913,Class Act,1992,100,Drama,88
914,Water,1986,89,Comedy,47
915,Silent Movie,1978,88,Comedy,27
916,Pink Cadillac,1989,122,Comedy,12
917,"Jerk, The",1979,94,Comedy,22
918,Wild Times,1980,180,,75
919,Sweet Liberty,1986,107,Comedy,12
920,Grease II,1982,115,Music,64
921,Married to the Mob,1989,104,Comedy,8
922,Ladyhawke,1985,121,Adventure,68
923,"Fabulous Baker Boys, The",1989,114,Drama,66
924,Into the Night,1985,115,Comedy,62
925,"Russia House, The",1991,124,Drama,3
926,Tequila Sunrise,1988,116,Mystery,50
927,B. A. D. Cats,1989,74,Action,87
928,"Last Movie, The",1971,108,Drama,22
929,Dillinger,1973,106,Drama,83
930,Little Dorrit,1988,360,Drama,12
931,My Best Girl,1927,78,Drama,31
932,Seizure,1989,93,Horror,59
933,A Chorus of Disapproval,1990,89,Comedy,0
934,Rome Adventure,1962,119,Drama,39
935,Drowning by Numbers,1992,121,Mystery,28
936,Born to Ride,1991,88,Action,59
937,Her Alibi,1988,94,Comedy,80
938,Glitz,1988,96,Mystery,9
939,Dangerous Pursuit,1990,95,Mystery,88
940,Experiment in Terror,1962,123,Mystery,77
941,"Hideaways, The",1972,105,Comedy,42
942,What's New Pussycat,1965,108,Comedy,83
943,What's New Pussycat?,1965,108,Comedy,46
944,Packin' It In,1983,98,Comedy,8
945,"Naked Gun: From the Files of Police Squad!, THe",1988,90,Comedy,9
946,In Too Deep,1990,106,Drama,50
947,Twins,1988,107,Comedy,23
948,"Experts, The",1988,94,Comedy,67
949,Naked Lie,1989,94,Drama,7
950,Mistress,1987,87,Drama,36
951,Pleasure Palace,1992,,Action,45
952,Adam at 6 A.M.,1970,100,Drama,3
953,Web of Deceit,1990,93,Drama,6
954,New York Stories,1991,119,Comedy,6
955,"Dreams Lost, Dreams Found",1987,97,Drama,66
956,Au Revoir les Enfants,1987,103,Drama,35
957,Quo Vadis,1989,122,Drama,6
958,"Fighting Kentuckian, The",1949,100,Action,74
959,Zardoz,1974,104,Science Fiction,6
960,Police Academy 6: City under Siege,1989,84,Comedy,29
961,Police Academy 5: Assignment Miami Beach,1988,90,Comedy,59
962,Police Academy 3: Back in Training,1986,84,Comedy,6
963,"America's Music, Blues",1991,60,Music,54
964,Julia,1977,100,Drama,75
965,"Devils, The",1971,111,Drama,69
966,Ransom,1984,90,Drama,73
967,Cadillac Man,1990,97,Comedy,28
968,"Best of Times, The",1986,104,Comedy,88
969,Death of a Salesman,1985,135,Drama,13
970,It Started with a Kiss,1993,104,Drama,80
971,"Money, The",1989,88,Drama,29
972,Empire of the Sun,1987,153,Drama,6
973,"Comfort of Strangers, The",1991,102,Mystery,5
974,On Her Majesty's Secret Service,1969,135,Action,66
975,Pretty in Pink,1986,96,Drama,75
976,PK. & the Kid.,1987,90,Drama,49
977,"Lone Star Trail, The",1943,60,Western,27
978,Summer,1986,98,Comedy,11
979,"Planes, Trains & Automobiles",1987,93,Comedy,73
980,Pretty Woman,1990,119,Comedy,43
981,Flatliners,1991,111,Drama,19
982,Hook,1991,142,Action,4
983,Riders of Pasco Basin,1940,56,Western,17
984,"Gotta Dance, Gotta Sing",1992,53,Music,20
985,Desperate Hours,1990,106,Mystery,58
986,Gung Ho,1986,111,Comedy,59
987,Shooting Elizabeth,1992,96,Mystery,5
988,Strangers on a Train,1951,101,Mystery,17
989,"Sacketts, The",1979,198,Western,86
990,To Die Standing,1991,87,Action,53
991,Rodeo Girl,1980,92,Drama,80
992,Butch Cassidy & the Sundance Kid,1969,110,Western,29
993,Hellfighters,1968,121,Action,22
994,"Final Countdown, The",1980,92,Action,35
995,Blue Velvet,1986,120,Mystery,6
996,Cousins,1989,110,Comedy,28
997,Black & White in Color,1976,90,Comedy,24
998,Another Woman,1988,81,Drama,7
999,Night on Earth,1992,128,Drama,24
1000,Permanent Record,1988,92,Drama,42
1001,"Fisher King, The",1992,138,Drama,8
1002,Another You,1991,98,Comedy,75
1003,"Young Lions, The",1958,167,Drama,10
1004,Cheerleader Camp,1988,89,Horror,79
1005,Trapper County War,1990,98,Action,5
1006,Angel & the Badman,1947,96,Western,84
1007,Impulse,1990,109,Mystery,23
1008,Track Twenty-Nine,1988,91,Drama,48
1009,Freejack,1991,110,Action,26
1010,"John Wayne Matinee Double Feature, No. 1",1939,109,Western,30
1011,"Smallest Show on Earth, The",1988,81,Comedy,24
1012,Innerspace,1987,120,Science Fiction,41
1013,"Presidio, The",1988,97,Action,4
1014,Joe Versus the Volcano,1990,102,Comedy,17
1015,"Doors, The",1991,135,Drama,60
1016,"Welcome Home, Roxy Carmichael",1990,98,Comedy,41
1017,Cancel My Reservation,1972,99,Comedy,60
1018,North by Northwest,1991,135,Mystery,20
1019,"Russians Are Coming, the Russians Are, The",1966,127,Comedy,79
1020,Exodus,1992,213,Drama,13
1021,"Ballad of Narayama, The",1982,128,Drama,88
1022,Out of the Darkness,1985,96,Mystery,86
1023,"Garden of the Finzi-Continis, The",1971,90,Drama,42
1024,Steppenwolf,1974,105,Drama,20
1025,"Mackintosh Man, The",1973,100,Action,65
1026,Partner,1968,105,Drama,26
1027,"Conformist, The",1970,107,Drama,72
1028,Dirty Harry,1971,102,Drama,72
1029,Ferris Bueller's Day Off,1986,103,Comedy,12
1030,Legend,1986,89,Science Fiction,42
1031,"Buddy System, The",1984,110,Drama,48
1032,A Dry White Season,1989,97,Drama,71
1033,"Rocky Horror Picture Show, The",1975,105,Music,59
1034,War & Peace,1968,360,Drama,80
1035,Defense of the Realm,1992,96,Drama,79
1036,Basil The Rat,1991,90,Comedy,9
1037,"Fawlty Towers, Gourmet Night, Waldorf Salad & The Kipper & the Corpse",1979,90,Comedy,46
1038,Going Under,1991,80,Comedy,30
1039,U S. Sub Standard.,1990,83,Comedy,27
1040,Hells Angels on Wheels,1990,,Action,1
1041,"Passenger, The",1975,118,Drama,32
1042,Last Tango in Paris,1973,127,Drama,28
1043,Indigo Autumn & Lilac Dream,1987,155,Drama,72
1044,"Kriemhild's Revenge, The Nibelungenlied",1924,95,Drama,74
1045,Johnny Tiger,1966,102,Drama,69
1046,Head Office,1986,90,Comedy,88
1047,Live & Let Die,1990,,Action,62
1048,Le Charme Discret de la Bourgeoisie,1972,100,Comedy,4
1049,Blue City,1986,83,Action,38
1050,Bad Boys,1983,123,Drama,7
1051,"Whoopee Boys, The",1986,82,Comedy,54
1052,"Last Picture Show, The",1971,118,Drama,62
1053,"Diamond Trap, The",1988,93,Drama,58
1054,Endless Love,1981,115,Drama,20
1055,Rocky,1976,90,Drama,78
1056,Cocktail,1988,103,Drama,13
1057,Sabotage,1936,77,Mystery,74
1058,Madame Rosa,1977,105,Drama,11
1059,Fozzie's Muppet Scrapbook,1985,56,Comedy,86
1060,Desiree,1954,110,Drama,22
1061,Spartacus,1960,185,Drama,67
1062,Guys & Dolls,1955,150,Comedy,70
1063,Until They Sail,1992,95,Drama,77
1064,Coming to America,1988,116,Comedy,11
1065,Lilies of the Field,1963,93,Drama,36
1066,River's Edge,1987,99,Drama,3
1067,Ruthless People,1986,93,Comedy,84
1068,"Secret of My Success, The",1987,110,Comedy,5
1069,"Shop on Main Street, The",1965,128,Drama,37
1070,Funny Farm,1988,101,Comedy,30
1071,"Lonely Passion of Judith Hearne, The",1988,120,Drama,24
1072,California Suite,1978,103,Comedy,11
1073,Maximum Overdrive,1986,97,Horror,40
1074,Pale Rider,1985,116,Western,45
1075,"Kissing Place, The",1990,88,Drama,41
1076,French Lesson,1986,90,Comedy,29
1077,Roller Blade,1985,88,Action,31
1078,A Shot in the Dark,1964,101,Comedy,51
1079,"Treasure Seekers, The",1979,88,Action,2
1080,Missing,1982,122,Drama,30
1081,Picasso Trigger,1989,99,Action,20
1082,Hard Ticket to Hawaii,1987,97,Action,36
1083,Diamonds are Forever,1990,,Action,8
1084,Baby Face,1933,72,Drama,66
1085,"Violent Men, The",1992,95,Action,25
1086,Cocoon,1985,117,Science Fiction,45
1087,Clockwise,1986,96,Comedy,10
1088,Romantic Comedy,1993,103,Comedy,8
1089,Outland,1981,111,Science Fiction,7
1090,Hang 'em High,1967,114,Western,67
1091,Basic Instinct,1992,123,Mystery,41
1092,Total Recall,1990,113,Action,8
1093,Stakeout,1987,115,Comedy,13
1094,"Unnamable II, The Statement of Randolph Carter, The",1992,104,Drama,36
1095,"Trip, The",1967,85,Drama,64
1096,Ironweed,1987,135,Drama,32
1097,Kramer vs. Kramer,1979,,Drama,8
1098,Still of the Night,1988,,Mystery,42
1099,Defending Your Life,1991,112,Comedy,75
1100,"Deer Hunter, The",1978,183,Drama,82
1101,Falling in Love,1984,106,Drama,31
1102,Heartburn,1986,108,Comedy,57
1103,Silkwood,1983,131,Drama,52
1104,Sophie's Choice,1982,151,Drama,64
1105,Out of Africa,1985,161,Drama,88
1106,"French Lieutenant's Woman, The",1981,127,Drama,37
1107,Plenty,1985,124,Drama,9
1108,A Cry in the Dark,1988,122,Drama,67
1109,She-Devil,1989,99,Comedy,43
1110,Death Becomes Her,1992,103,Drama,61
1111,Kids & Pesticides,1991,28,Drama,36
1112,On a Clear Day You Can See Forever,1970,129,Music,67
1113,Nuts,1987,100,Drama,52
1114,Yentl,1983,134,Music,46
1115,Funny Girl,1968,151,Music,30
1116,Fellow Traveller,1990,97,Drama,39
1117,Dodesukaden,1970,140,Drama,75
1118,"Sicilian, The",1987,,Drama,41
1119,So Ends Our Night,1941,117,Drama,2
1120,Sword of the Valiant,1984,102,Action,5
1121,"Devil's Wanton, The",1949,78,Drama,66
1122,Driving Miss Daisy,1989,99,Drama,6
1123,"Seventh Cross, The",1991,111,Drama,35
1124,Between Friends,1983,105,Drama,54
1125,Raintree County,1957,173,Drama,74
1126,"Driver's Seat, The",1975,101,Drama,72
1127,Reflections in a Golden Eye,1967,109,Drama,81
1128,"X, Y & Zee",1972,110,Drama,87
1129,Secret Ceremony,1968,109,Drama,60
1130,Cleopatra,1963,243,Drama,80
1131,Father of the Bride,1950,,Comedy,54
1132,Who's Afraid of Virginia Woolf?,1992,130,Drama,82
1133,A Little Night Music,1977,110,Music,61
1134,Giant,1956,201,Drama,61
1135,"Rumor Mill, The",1985,94,Drama,62
1136,Lassie Come Home,1943,90,Drama,79
1137,Return Engagement,1993,76,Drama,26
1138,Hammersmith Is Out,1972,108,Drama,80
1139,Super Duper Bloopers,1991,60,Comedy,21
1140,"Elizabeth Taylor Collection, The",1991,,Drama,21
1141,Ash Wednesday,1973,99,Drama,54
1142,"Last Time I Saw Paris, The",1991,117,Drama,13
1143,Cimarron,1931,125,Western,44
1144,Apache Woman,1992,83,Western,32
1145,Gary Numan - Berzerker,1984,,Music,60
1146,Mystic Pizza,1988,101,Comedy,74
1147,Dogfight,1991,95,Action,66
1148,"Adventures of Rex & Rinty, The",1935,234,Western,87
1149,Daphnis & Chloe,1988,60,Music,85
1150,Marathon,1980,97,Comedy,76
1151,Fort Apache,1948,127,Western,4
1152,Wee Willie Winkie,1937,100,Drama,78
1153,Big Shots,1987,91,Action,5
1154,Doin' Time on Planet Earth,1988,85,Comedy,44
1155,All the Right Moves,1983,91,Drama,65
1156,Some Kind of Wonderful,1987,93,Drama,16
1157,"All New Tales from the Crypt, A Trilogy",1990,87,Horror,33
1158,Back to the Future,1985,116,Comedy,9
1159,Winter Light,1963,80,Drama,2
1160,"Silence, The",1963,95,Drama,79
1161,"Magician, The",1959,100,Drama,3
1162,"Four Horsemen of the Apocalypse, The",1961,154,Drama,71
1163,Critical Condition,1986,99,Comedy,41
1164,Center of the Web,1989,88,Mystery,42
1165,Border Shootout,1990,110,Action,7
1166,Lean on Me,1989,109,Drama,51
1167,On Wings of Eagles,1986,221,Drama,53
1168,Texas,1941,94,Western,79
1169,Allegheny Uprising,1939,80,Drama,53
1170,Dark Command,1940,95,Western,52
1171,Peggy Sue Got Married,1986,103,Drama,62
1172,"Dear America, Letters Home from Vietnam",1989,84,War,57
1173,Prizzi's Honor,1985,130,Comedy,25
1174,"Man with Two Brains, The",1983,90,Comedy,68
1175,Crimes of Passion,1984,101,Drama,4
1176,"Jewel of the Nile, The",1985,106,Action,68
1177,Romancing the Stone,1984,106,Action,83
1178,"Accidental Tourist, The",1988,121,Comedy,56
1179,"Sea Chase, The",1955,117,War,4
1180,"Another Time, Another Place",1958,98,Drama,4
1181,Cannibal Women in the Avocado Jungle of Death,1988,90,Comedy,56
1182,Mr Love.,1986,91,Comedy,10
1183,2001: A Space Odyssey,1968,139,Science Fiction,83
1184,Persona,1966,81,Drama,81
1185,Scenes from a Marriage,1973,,Drama,3
1186,Hour of the Wolf,1968,88,Drama,37
1187,"Passion of Anna, The",1969,101,Drama,6
1188,Dangerous Moves,1984,96,Drama,7
1189,Sayonara,1957,147,Drama,19
1190,Where Eagles Dare,1968,158,War,57
1191,Teen Wolf,1985,95,Drama,58
1192,Amazon,1990,88,Action,30
1193,"Paper Chase, The",1973,,Drama,7
1194,"Virgin Spring, The",1959,88,Drama,8
1195,Spider's Stratagem,1970,97,Drama,45
1196,Play Misty for Me,1971,102,Mystery,47
1197,Going Ape,1981,88,Comedy,65
1198,Cool Hand Luke,1967,127,Drama,49
1199,Phantom of the Ritz,1988,89,Horror,85
1200,Crash & Burn,1990,85,Science Fiction,75
1201,After Dark My Sweet,1991,114,Mystery,33
1202,Christopher Columbus: The Discovery,1992,121,Adventure,39
1203,Young Sherlock Holmes,1986,109,Mystery,16
1204,Doc Hollywood,1991,104,Comedy,64
1205,Baja Oklahoma,1988,96,Comedy,71
1206,Aliens,1986,137,Science Fiction,82
1207,Alien Three,1992,115,Science Fiction,59
1208,Alien: resurrection,1997,109,Science Fiction,60
1209,Alien,1979,117,Science Fiction,83
1210,One Woman or Two,1985,97,Comedy,64
1211,Soggy Bottom U. S. A.,1984,96,Comedy,50
1212,Bang the Drum Slowly,1973,96,Drama,73
1213,"Catamount Killing, The",1974,82,Action,84
1214,Fuzz,1972,92,Action,37
1215,"Shoot Loud, Louder, I Don't Understand!",1966,101,Mystery,70
1216,Bedazzled,1967,107,Comedy,67
1217,"Prince & the Pauper, The",1977,120,Action,86
1218,One Hundred Rifles,1969,110,Western,48
1219,"Wild Party, The",1975,90,Drama,75
1220,Bandolero!,1968,106,Western,9
1221,"Last of Sheila, The",1973,119,Mystery,39
1222,Hannie Caulder,1972,87,Drama,9
1223,Sounds of the Seventies...& the Beat Goes,1990,,Music,13
1224,Bird,1988,161,Drama,24
1225,Meet Millie,1955,60,Drama,82
1226,Hell Comes to Frogtown,1987,88,Science Fiction,74
1227,"Fortune Cookie, The",1966,126,Comedy,3
1228,"Sun Shines Bright, The",1990,92,Action,46
1229,"Squeeze, The",1987,106,Action,23
1230,Start the Revolution Without Me,1970,91,Comedy,62
1231,Major League,1989,107,Comedy,64
1232,"Bright Lights, Big City",1990,108,Drama,30
1233,"Lost Boys, The",1987,97,Horror,67
1234,Cookie,1989,93,Comedy,43
1235,"Conversation, The",1974,114,Drama,59
1236,American Graffiti,1973,112,Comedy,39
1237,Dangerous When Wet,1953,96,Music,67
1238,Stir Crazy,1980,111,Comedy,40
