index,Title,Year,Length,Subject,Popularity
140,Autumn Sonata,1978,97,Drama,49
141,Gaslight,1944,114,Drama,25
142,Indiscreet,1958,100,Drama,1
143,Walpurgis Night,1941,75,Drama,32
144,Joan of Arc,1948,100,Drama,7
145,A Woman Called Golda,1982,195,Drama,15
146,A Walk in the Spring Rain,1969,98,Drama,2
147,Under Capricorn,1949,117,Drama,74
148,Notorious,1946,101,Mystery,42
149,June Night,1940,90,Drama,14
150,Goodbye Again,1961,120,Drama,6
151,Anastasia,1956,106,Drama,24
152,"Bells of St. Mary's, The",1945,126,Drama,31
153,Intermezzo,1937,91,Drama,32
154,A Woman's Face,1938,104,Drama,49
155,Swedenhielms,1935,90,Drama,88
156,Only One Night,1939,87,Drama,26
157,Dollar,1938,74,Drama,19
158,Elena & Her Men,1956,98,Drama,33
159,Europa Fifty-One,1952,110,Drama,34
160,Voyage in Italy,1953,83,Drama,57
161,Fear,1954,81,Drama,69
162,Stromboli,1950,107,Drama,69
163,Cactus Flower,1969,103,Comedy,67
164,Hideaways,1989,105,Comedy,16
165,Twenty Four Hours in a Woman's Life,1990,90,Drama,16
166,Programmed to Kill,1987,91,Action,71
167,Conan the Barbarian,1982,128,Action,45
168,Raw Nerve,1991,91,Mystery,88
169,Think Dirty,1970,94,Comedy,31
170,King of Comedy,1982,108,Drama,84
171,"Best of the Big Laff Off, The",1983,60,Comedy,20
172,Amadeus,1984,158,Drama,6
173,White Lightning,1973,101,Action,54
174,"Unbearable Lightness of Being, The",1988,172,Drama,5
175,"Life & Times of Judge Roy Bean, The",1972,124,Western,65
176,Airport,1970,137,Drama,0
177,Day for Night,1973,116,Drama,10
178,Secrets of Women,1952,107,Comedy,66
179,Burnt Offerings,1976,116,Horror,35
180,Easy Rider,1969,94,Drama,36
181,Five Easy Pieces,1991,98,Drama,2
182,"Day of the Locust, The",1974,144,Drama,81
183,Goldfinger,1964,112,Action,77
184,"Exorcist II, The Heretic",1977,117,Horror,29
185,White Lightning,1953,61,,
186,Lady for a Night,1942,88,Drama,12
187,Charly,1968,103,Drama,38
188,High Plains Drifter,1973,105,Western,57
189,Honkytonk Man,1982,123,Drama,69
190,Nightbreed,1990,102,Horror,72
191,Under the Sun of Satan,1987,98,Drama,45
192,Vagabond,1985,105,Drama,49
193,"Bill Cosby, Live at Harrah's",1993,60,Comedy,13
194,Monty Python & the Holy Grail,1974,89,Comedy,83
195,John Cleese on How to Irritate People,1993,65,Comedy,62
196,"Matchmaker, The",1958,101,Comedy,67
197,For Your Eyes Only,1981,129,Action,86
198,Wings,1928,139,War,44
199,Medicine Man,1992,106,Action,6
200,Good Fellas,1989,,Drama,15
201,Kiss of the Spider Woman,1985,119,Drama,10
202,"Rookie, THe",1990,121,Action,48
203,"Sting, The",1973,129,Drama,83
204,Torpedo Run,1958,96,War,50
205,Instant Justice,1986,101,Drama,45
206,Cyrano de Bergerac,1990,135,Drama,76
207,Border Street,1948,110,Drama,73
208,Firehouse,1987,91,Comedy,66
209,Morituri,1965,123,Drama,9
210,From the Life of the Marionettes,1980,104,Drama,58
211,Frantic,1988,120,Mystery,17
212,Coma,1978,114,Science Fiction,64
213,Dead Ringers,1988,117,Drama,29
214,Golden Ninja Invasion,1988,90,Action,13
215,"Exorcist, The",1973,122,Horror,28
216,Alice Doesn't Live Here Anymore,1975,112,Comedy,82
217,"Eyes of the Amaryllis, The",1982,94,Drama,70
218,What Price Glory?,1952,109,War,4
219,Inauguration of the Pleasure Dome,1954,40,Short,62
220,School Daze,1989,114,Comedy,18
221,"End of Innocence, The",1990,102,Drama,6
222,"Anderson Tapes, The",1971,98,Mystery,1
223,"Father Murphy, A Horse from Heaven",1983,50,Comedy,28
224,Skull,1989,80,Drama,19
225,"Quick & The Dead, The",1987,91,Western,40
226,Best Defense,1984,94,Comedy,75
227,Dreamscape,1984,99,Science Fiction,63
228,Black Rain,1989,125,Action,73
229,8 1/2,1963,138,Drama,80
230,One Frightened Night,1935,64,Horror,33
231,"Year My Voice Broke, The",1988,103,Drama,71
232,Is Paris Burning?,1966,175,War,63
233,QB VII,1974,313,Drama,28
234,"Island of Dr. Moreau, The",1977,104,Horror,54
235,Beyond the Limit,1983,104,Drama,51
236,Secret Agent,1936,84,Mystery,50
237,Paramount Comedy Theater: Well-Developed,1986,71,Comedy,40
238,"Big Bust Out, The",1972,71,Action,50
239,"Fourth Protocol, The",1987,119,Mystery,14
240,Gremlins 2: The New Batch,1990,107,Comedy,61
241,Fast Times at Ridgemont High,1982,92,Comedy,65
242,Mannequin,1987,,Comedy,23
